COD_ITEM        Cont04	Cont08	Cont12	Cont16	Cont26	Cont52	ContAno	ContTt      Total Geral         Metodo     MetEst       Md04    Md08      Md12        Md16          Md26         Md52       MdAno       MdTt          Máximo       TP_Metodo              Metodo      MetEst       Estoque    Reposição      Fx_Giro                                       Giro                                                                                        
325.023.001     4	     8	    12	    16	    26	    52	    50	    117         111.180             1.170      18.720       990     1.170     1.115       1.115         995          1.065      1.085       930           1.740        1.ORDINÁRIOS           1.170       18.720       18.970     0              F.ATÉ QUATRO MESES DE ESTOQUE                 16,0                                                                                                               
325.025.001     3	     7	    10	    14	    23	    48	    46	    98          15.212              153        2.448        105     150       153         135           150          150        153         140           580          1.ORDINÁRIOS           153         2.448        2.655      0              G.ATÉ DOZE MESES DE ESTOQUE                   17,0                                                                                                   
325.025.002     4	     8	    12	    16	    26	    50	    49	    111         602                 4          64           3       4         4           4             4            4          4           4             19           1.ORDINÁRIOS           4           64           30         34             D.ATÉ DOIS MESES DE ESTOQUE                   8,0                                                                                   
325.026.001     4	     8	    12	    16	    26	    52	    50	    117         32.440              280        4.480        220     260       280         280           280          280        280         240           700          1.ORDINÁRIOS           280         4.480        7.890      0              G.ATÉ DOZE MESES DE ESTOQUE                   28,0                                                                                                   
304.002.003     0	     0	    0	    1	    1	    1	    1	    1           20                  0          0            0       0         0           20            20           20         20          20            20           2.INTERMITENTES        0           0            20         0              B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                       
325.027.001     4	     7	    11	    15	    24	    48	    46	    98          6.587               78         1.248        48      48        48          72            78           60         60          60            240          1.ORDINÁRIOS           78          1.248        1.962      0              G.ATÉ DOZE MESES DE ESTOQUE                   25,0                                                                                              
325.028.001     4	     8	    12	    16	    26	    52	    50	    118         86.525              688        11.008       450     538       538         575           575          640        615         688           2.356        1.ORDINÁRIOS           688         11.008       5.975      5.033          E.ATÉ TRÊS MESES DE ESTOQUE                   9,0                                                                                                          
325.028.002     3	     7	    9	    12	    13	    20	    19	    42          7.280               140        2.240        100     100       100         100           100          100        100         150           760          2.INTERMITENTES        140         2.240        1.440      800            E.ATÉ TRÊS MESES DE ESTOQUE                   10,0                                                                                                        
325.031.001     4	     8	    12	    16	    25	    48	    47	    103         886                 10         160          5       10        10          9             9            9          9           8             28           1.ORDINÁRIOS           10          160          75         85             D.ATÉ DOIS MESES DE ESTOQUE                   8,0                                                                                     
325.031.002     4	     7	    10	    14	    22	    44	    43	    102         1.171               11         176          6       6         11          9             10           10         9           10            48           1.ORDINÁRIOS           11          176          83         93             D.ATÉ DOIS MESES DE ESTOQUE                   8,0                                                                                        
325.032.001     4	     8	    12	    16	    26	    52	    50	    118         30.060              270        4.320        255     255       255         270           270          240        240         240           1.030        1.ORDINÁRIOS           270         4.320        4.160      160            F.ATÉ QUATRO MESES DE ESTOQUE                 15,0                                                                                                         
325.032.002     4	     8	    12	    16	    26	    52	    50	    117         15.091              136        2.176        136     106       91          106           91           91         91          120           395          1.ORDINÁRIOS           136         2.176        1.949      227            F.ATÉ QUATRO MESES DE ESTOQUE                 14,0                                                                                                    
325.021.002     4	     8	    12	    16	    26	    52	    50	    118         5.018               45         720          20      31        34          34            45           40         41          38            119          1.ORDINÁRIOS           45          720          786        0              G.ATÉ DOZE MESES DE ESTOQUE                   17,0                                                                                          
325.021.003     4	     8	    12	    16	    26	    52	    50	    117         1.842               14         224          6       8         10          10            11           14         14          13            49           1.ORDINÁRIOS           14          224          277        0              G.ATÉ DOZE MESES DE ESTOQUE                   20,0                                                                                         
325.033.001     0	     0	    0	    0	    0	    1	    1	    17          1.240               0          0            0       0         0           0             0            20         20          40            500          3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                         
325.029.003     4	     8	    12	    16	    26	    52	    50	    118         28.020              240        3.840        195     195       195         205           210          230        215         240           420          1.ORDINÁRIOS           240         3.840        4.090      0              G.ATÉ DOZE MESES DE ESTOQUE                   17,0                                                                                                   
325.001.004     4	     8	    12	    16	    26	    52	    50	    118         137.193             1.400      22.400       1.33    1.400     1.400       1.335         1.275        1.245      1.245       1.175         1.880        1.ORDINÁRIOS           1.400       22.400       10.350     12.050         D.ATÉ DOIS MESES DE ESTOQUE                   7,0                                                                                                                      
325.016.005     4	     8	    12	    16	    24	    50	    48	    104         36.633              759        12.144       588     720       759         717           624          531        539         293           1.014        1.ORDINÁRIOS           759         12.144       10.057     2.087          F.ATÉ QUATRO MESES DE ESTOQUE                 13,0                                                                                                             
325.016.006     4	     8	    12	    16	    26	    52	    50	    106         1.385               26         416          19      26        24          22            22           17         18          10            39           1.ORDINÁRIOS           26          416          356        60             F.ATÉ QUATRO MESES DE ESTOQUE                 14,0                                                                                            
325.016.007     4	     8	    12	    16	    26	    52	    50	    117         1.113               12         192          9       12        12          12            7            6          6           8             41           1.ORDINÁRIOS           12          192          188        4              F.ATÉ QUATRO MESES DE ESTOQUE                 16,0                                                                                       
325.016.008     4	     8	    12	    16	    26	    52	    50	    118         50.907              410        6.560        290     299       299         328           386          376        380         410           1.140        1.ORDINÁRIOS           410         6.560        5.757      803            F.ATÉ QUATRO MESES DE ESTOQUE                 14,0                                                                                                         
325.034.001     0	     0	    0	    0	    0	    5	    4	    25          34                  0          0            0       0         0           0             0            1          1           1             2            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
325.035.001     4	     8	    12	    16	    26	    52	    50	    118         91.870              810        12.960       760     800       790         790           800          810        810         780           1.340        1.ORDINÁRIOS           810         12.960       5.790      7.170          D.ATÉ DOIS MESES DE ESTOQUE                   7,0                                                                                                          
325.035.002     0	     0	    0	    0	    1	    8	    8	    22          600                 0          0            0       0         0           0             90           30         30          30            90           3.INATIVOS             0           0            750        0              I.INATIVOS COM ESTOQUE                        0,0                                                                               
325.016.010     4	     8	    12	    16	    26	    52	    50	    118         27.349              224        3.584        188     221       224         221           221          208        210         220           510          1.ORDINÁRIOS           224         3.584        4.817      0              G.ATÉ DOZE MESES DE ESTOQUE                   22,0                                                                                                   
325.016.009     4	     8	    12	    16	    26	    50	    48	    114         2.089               21         336          16      21        20          19            16           14         15          16            50           1.ORDINÁRIOS           21          336          479        0              G.ATÉ DOZE MESES DE ESTOQUE                   23,0                                                                                         
325.038.001     4	     8	    12	    16	    25	    49	    47	    114         24.998              210        3.360        165     195       180         180           180          210        210         195           490          1.ORDINÁRIOS           210         3.360        4.420      0              G.ATÉ DOZE MESES DE ESTOQUE                   21,0                                                                                                   
325.039.001     4	     8	    12	    16	    26	    51	    50	    117         3.555               34         544          30      30        32          34            29           28         28          26            102          1.ORDINÁRIOS           34          544          495        49             F.ATÉ QUATRO MESES DE ESTOQUE                 15,0                                                                                             
325.040.001     4	     8	    12	    16	    26	    52	    50	    116         63.816              530        8.480        485     470       470         510           475          530        530         510           1.200        1.ORDINÁRIOS           530         8.480        10.050     0              G.ATÉ DOZE MESES DE ESTOQUE                   19,0                                                                                                      
325.040.003     4	     8	    12	    16	    26	    52	    50	    117         1.377               10         160          5       8         10          10            8            7          7           10            72           1.ORDINÁRIOS           10          160          185        0              G.ATÉ DOZE MESES DE ESTOQUE                   19,0                                                                                      
002.000.009     0	     0	    0	    0	    0	    0	    0	    51          328                 0          0            0       0         0           0             0            0          0           6             23           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
325.042.002     4	     8	    12	    16	    26	    52	    50	    118         72.308              695        11.120       500     530       580         580           580          695        695         580           1.320        1.ORDINÁRIOS           695         11.120       4.880      6.240          D.ATÉ DOIS MESES DE ESTOQUE                   7,0                                                                                                          
325.042.003     4	     8	    12	    16	    26	    52	    50	    114         14.931              201        3.216        170     181       181         201           150          120        120         101           620          1.ORDINÁRIOS           201         3.216        3.159      57             F.ATÉ QUATRO MESES DE ESTOQUE                 16,0                                                                                                      
325.042.004     4	     8	    12	    16	    26	    52	    50	    71          500                 8          128          4       6         6           8             6            5          5           6             24           1.ORDINÁRIOS           8           128          141        0              G.ATÉ DOZE MESES DE ESTOQUE                   18,0                                                                                    
325.045.001     2	     5	    9	    11	    19	    43	    41	    104         13.717              120        1.920        120     120       120         120           100          100        100         120           380          1.ORDINÁRIOS           120         1.920        2.203      0              G.ATÉ DOZE MESES DE ESTOQUE                   18,0                                                                                                   
325.028.003     4	     8	    12	    16	    26	    52	    50	    118         102.980             950        15.200       950     915       900         840           805          835        835         860           1.440        1.ORDINÁRIOS           950         15.200       1.860      13.340         C.ATÉ UM MÊS DE ESTOQUE                       2,0                                                                                                       
005.000.066     2	     3	    5	    8	    11	    19	    18	    32          187                 4          64           5       5         5           5             6            6          6           6             10           2.INTERMITENTES        4           64           57         7              F.ATÉ QUATRO MESES DE ESTOQUE                 14,0                                                                                       
230.001.019     4	     8	    12	    16	    24	    49	    47	    65          6.795               105        1.680        90      90        90          90            105          90         90          90            210          1.ORDINÁRIOS           105         1.680        2.310      0              G.ATÉ DOZE MESES DE ESTOQUE                   22,0                                                                                                
002.000.068     3	     6	    10	    14	    22	    38	    38	    65          4.600               90         1.440        90      60        75          60            60           60         60          60            240          1.ORDINÁRIOS           90          1.440        1.230      210            F.ATÉ QUATRO MESES DE ESTOQUE                 14,0                                                                                                  
